config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes	run_id
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	0
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	1
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	2
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	3
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	4
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	5
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	6
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	7
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	8
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	9
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	10
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	11
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	12
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	13
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	14
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	15
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	16
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	17
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	18
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	19
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	20
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	21
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	22
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	23
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	24
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	25
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	26
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	27
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	28
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	29
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	30
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	31
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	32
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	33
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	34
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	35
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	36
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	37
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	38
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	39
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	40
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	41
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	42
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	43
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	44
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	45
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	46
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	47
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	48
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	49
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	50
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	51
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	52
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	53
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	54
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	55
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	56
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	57
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	58
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	59
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	60
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	61
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	62
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500	63
