config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c0	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500
c1	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.7	500
c2	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.7	500
c3	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	500
c4	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.2	-1.04	1.04	9	-1.4384615384615385	1.4384615384615385	12	0.7	500
c5	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.24	-1.0050000000000001	1.0050000000000001	7	-1.392	1.392	9	0.7	500
c6	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.28	-0.9857142857142858	0.9857142857142858	6	-1.3844444444444446	1.3844444444444446	8	0.7	500
c7	experiments/setups/experiment_1.xml	Control	experiments/mazes/M2.xml	2	0.32	-1.0142857142857145	1.0142857142857145	6	-1.4155555555555557	1.4155555555555557	8	0.7	500
c8	experiments/setups/experiment_1.xml	Control	experiments/mazes/M3.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500
c9	experiments/setups/experiment_1.xml	Control	experiments/mazes/M3.xml	2	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.7	500
c10	experiments/setups/experiment_1.xml	Control	experiments/mazes/M3.xml	2	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.7	500
c11	experiments/setups/experiment_1.xml	Control	experiments/mazes/M3.xml	2	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	500
c12	experiments/setups/experiment_1.xml	Control	experiments/mazes/M3.xml	2	0.2	-1.04	1.04	9	-1.4384615384615385	1.4384615384615385	12	0.7	500
c13	experiments/setups/experiment_1.xml	Control	experiments/mazes/M3.xml	2	0.24	-1.0050000000000001	1.0050000000000001	7	-1.392	1.392	9	0.7	500
c14	experiments/setups/experiment_1.xml	Control	experiments/mazes/M3.xml	2	0.28	-0.9857142857142858	0.9857142857142858	6	-1.3844444444444446	1.3844444444444446	8	0.7	500
c15	experiments/setups/experiment_1.xml	Control	experiments/mazes/M3.xml	2	0.32	-1.0142857142857145	1.0142857142857145	6	-1.4155555555555557	1.4155555555555557	8	0.7	500
c16	experiments/setups/experiment_1.xml	Control	experiments/mazes/M4.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500
c17	experiments/setups/experiment_1.xml	Control	experiments/mazes/M4.xml	2	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.7	500
c18	experiments/setups/experiment_1.xml	Control	experiments/mazes/M4.xml	2	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.7	500
c19	experiments/setups/experiment_1.xml	Control	experiments/mazes/M4.xml	2	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	500
c20	experiments/setups/experiment_1.xml	Control	experiments/mazes/M4.xml	2	0.2	-1.04	1.04	9	-1.4384615384615385	1.4384615384615385	12	0.7	500
c21	experiments/setups/experiment_1.xml	Control	experiments/mazes/M4.xml	2	0.24	-1.0050000000000001	1.0050000000000001	7	-1.392	1.392	9	0.7	500
c22	experiments/setups/experiment_1.xml	Control	experiments/mazes/M4.xml	2	0.28	-0.9857142857142858	0.9857142857142858	6	-1.3844444444444446	1.3844444444444446	8	0.7	500
c23	experiments/setups/experiment_1.xml	Control	experiments/mazes/M4.xml	2	0.32	-1.0142857142857145	1.0142857142857145	6	-1.4155555555555557	1.4155555555555557	8	0.7	500
c24	experiments/setups/experiment_1.xml	Control	experiments/mazes/M5.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500
c25	experiments/setups/experiment_1.xml	Control	experiments/mazes/M5.xml	2	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.7	500
c26	experiments/setups/experiment_1.xml	Control	experiments/mazes/M5.xml	2	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.7	500
c27	experiments/setups/experiment_1.xml	Control	experiments/mazes/M5.xml	2	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	500
c28	experiments/setups/experiment_1.xml	Control	experiments/mazes/M5.xml	2	0.2	-1.04	1.04	9	-1.4384615384615385	1.4384615384615385	12	0.7	500
c29	experiments/setups/experiment_1.xml	Control	experiments/mazes/M5.xml	2	0.24	-1.0050000000000001	1.0050000000000001	7	-1.392	1.392	9	0.7	500
c30	experiments/setups/experiment_1.xml	Control	experiments/mazes/M5.xml	2	0.28	-0.9857142857142858	0.9857142857142858	6	-1.3844444444444446	1.3844444444444446	8	0.7	500
c31	experiments/setups/experiment_1.xml	Control	experiments/mazes/M5.xml	2	0.32	-1.0142857142857145	1.0142857142857145	6	-1.4155555555555557	1.4155555555555557	8	0.7	500
c32	experiments/setups/experiment_1.xml	Control	experiments/mazes/M6.xml	2	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	500
