config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0	700
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0	700
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0	700
c3	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0	700
c4	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2	-1.04	1.04	9	-1.4384615384615385	1.4384615384615385	12	0	700
c5	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.24	-1.0050000000000001	1.0050000000000001	7	-1.392	1.392	9	0	700
c6	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.28	-0.9857142857142858	0.9857142857142858	6	-1.3844444444444446	1.3844444444444446	8	0	700
c7	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.32	-1.0142857142857145	1.0142857142857145	6	-1.4155555555555557	1.4155555555555557	8	0	700
c8	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.36	-0.9733333333333334	0.9733333333333334	5	-1.3285714285714285	1.3285714285714285	6	0	700
c9	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.4	-1.0	1.0	5	-1.3571428571428572	1.3571428571428572	6	0	700
c10	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.44	-0.924	0.924	4	-1.2933333333333334	1.2933333333333334	5	0	700
c11	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.48	-0.9480000000000001	0.9480000000000001	4	-1.3199999999999998	1.3199999999999998	5	0	700
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.52	-0.9720000000000001	0.9720000000000001	4	-1.3466666666666667	1.3466666666666667	5	0	700
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.56	-0.9960000000000001	0.9960000000000001	4	-1.3733333333333335	1.3733333333333335	5	0	700
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0	700
c15	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0	700
c16	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0	700
c17	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0	700
c18	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2	-1.04	1.04	9	-1.4384615384615385	1.4384615384615385	12	0	700
c19	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24	-1.0050000000000001	1.0050000000000001	7	-1.392	1.392	9	0	700
c20	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28	-0.9857142857142858	0.9857142857142858	6	-1.3844444444444446	1.3844444444444446	8	0	700
c21	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32	-1.0142857142857145	1.0142857142857145	6	-1.4155555555555557	1.4155555555555557	8	0	700
c22	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36	-0.9733333333333334	0.9733333333333334	5	-1.3285714285714285	1.3285714285714285	6	0	700
c23	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4	-1.0	1.0	5	-1.3571428571428572	1.3571428571428572	6	0	700
c24	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44	-0.924	0.924	4	-1.2933333333333334	1.2933333333333334	5	0	700
c25	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.48	-0.9480000000000001	0.9480000000000001	4	-1.3199999999999998	1.3199999999999998	5	0	700
c26	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.52	-0.9720000000000001	0.9720000000000001	4	-1.3466666666666667	1.3466666666666667	5	0	700
c27	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.56	-0.9960000000000001	0.9960000000000001	4	-1.3733333333333335	1.3733333333333335	5	0	700
