config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes	run_id
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	0
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	1
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	2
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	3
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	4
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	5
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	6
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	7
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	8
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	9
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	10
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	11
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	12
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	13
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	14
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	15
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	16
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	17
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	18
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	19
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	20
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	21
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	22
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	23
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4386666666666665	1.4386666666666665	14	0.7	70000	24
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	0
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	1
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	2
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	3
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	4
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	5
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	6
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	7
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	8
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	9
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	10
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	11
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	12
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	13
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	14
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	15
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	16
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2,0.16	-1.04,-0.11000000000000001	1.04,0.31000000000000005	9,3	-1.4384615384615385,0.9786666666666666	1.4384615384615385,1.4213333333333333	12,3	0.7,0.7	70000	17
