config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.0	70000
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.1	70000
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.2	70000
c3	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.30000000000000004	70000
c4	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.4	70000
c5	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.5	70000
c6	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.6000000000000001	70000
c7	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7000000000000001	70000
c8	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.8	70000
c9	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.9	70000
c10	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.0	70000
c11	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.1	70000
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.2	70000
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.30000000000000004	70000
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.4	70000
c15	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.5	70000
c16	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.6000000000000001	70000
c17	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.7000000000000001	70000
c18	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.8	70000
c19	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4671428571428573	1.4671428571428573	27	0.9	70000
c20	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.0	70000
c21	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.1	70000
c22	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.2	70000
c23	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.30000000000000004	70000
c24	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.4	70000
c25	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4580000000000002	1.4580000000000002	19	0.5	70000
