maze,pos,steps,distance,path
M0.xml,0,18,1.4400000000000006,"[[1.0, 0.1], [0.9434314575050762, 0.1565685424949238], [0.8868629150101524, 0.21313708498984762], [0.8302943725152285, 0.26970562748477145], [0.7737258300203047, 0.32627416997969527], [0.7171572875253809, 0.3828427124746191], [0.6605887450304571, 0.4394112549695429], [0.6040202025355332, 0.49597979746446674], [0.5474516600406094, 0.5525483399593906], [0.4908831175456856, 0.6091168824543144], [0.43431457505076176, 0.6656854249492382], [0.43431457505076176, 0.7456854249492382], [0.43431457505076176, 0.8256854249492381], [0.37774603255583794, 0.882253967444162], [0.3211774900609141, 0.9388225099390858], [0.2646089475659903, 0.9953910524340096], [0.2080404050710665, 1.0519595949289335], [0.1514718625761427, 1.1085281374238574], [0.0949033200812189, 1.1650966799187812]]"
M0.xml,1,20,1.6000000000000005,"[[0.9, -0.1], [0.8434314575050762, -0.043431457505076196], [0.7868629150101524, 0.013137084989847614], [0.7302943725152286, 0.06970562748477142], [0.6737258300203047, 0.12627416997969523], [0.6171572875253809, 0.18284271247461903], [0.5605887450304571, 0.23941125496954285], [0.5040202025355333, 0.2959797974644667], [0.5040202025355333, 0.3759797974644667], [0.44745166004060943, 0.4325483399593905], [0.3908831175456856, 0.48911688245431434], [0.3343145750507618, 0.5456854249492381], [0.3343145750507618, 0.6256854249492382], [0.27774603255583796, 0.682253967444162], [0.27774603255583796, 0.762253967444162], [0.27774603255583796, 0.8422539674441619], [0.22117749006091417, 0.8988225099390857], [0.22117749006091417, 0.9788225099390857], [0.16460894756599037, 1.0353910524340095], [0.16460894756599037, 1.1153910524340096], [0.10804040507106658, 1.1719595949289334]]"
M0.xml,2,19,1.5200000000000007,"[[-1.0, 0.1], [-0.9434314575050762, 0.1565685424949238], [-0.8868629150101524, 0.21313708498984762], [-0.8302943725152285, 0.26970562748477145], [-0.7737258300203047, 0.32627416997969527], [-0.7171572875253809, 0.3828427124746191], [-0.6605887450304571, 0.4394112549695429], [-0.6040202025355332, 0.49597979746446674], [-0.5474516600406094, 0.5525483399593906], [-0.4908831175456856, 0.6091168824543144], [-0.43431457505076176, 0.6656854249492382], [-0.37774603255583794, 0.722253967444162], [-0.3211774900609141, 0.7788225099390859], [-0.2646089475659903, 0.8353910524340097], [-0.20804040507106647, 0.8919595949289335], [-0.15147186257614265, 0.9485281374238573], [-0.09490332008121884, 1.005096679918781], [-0.03833477758629503, 1.0616652224137049], [0.018233764908628783, 1.1182337649086287], [0.07480230740355259, 1.1748023074035525]]"
M0.xml,3,21,1.680000000000001,"[[-0.9, -0.1], [-0.8434314575050762, -0.043431457505076196], [-0.7868629150101524, 0.013137084989847614], [-0.7302943725152286, 0.06970562748477142], [-0.6737258300203047, 0.12627416997969523], [-0.6171572875253809, 0.18284271247461903], [-0.5605887450304571, 0.23941125496954285], [-0.5040202025355333, 0.2959797974644667], [-0.44745166004060943, 0.3525483399593905], [-0.3908831175456856, 0.4091168824543143], [-0.3343145750507618, 0.46568542494923815], [-0.27774603255583796, 0.522253967444162], [-0.22117749006091414, 0.5788225099390858], [-0.16460894756599032, 0.6353910524340096], [-0.1080404050710665, 0.6919595949289334], [-0.1080404050710665, 0.7719595949289334], [-0.051471862576142696, 0.8285281374238572], [-0.05147186257614269, 0.9085281374238572], [0.00509667991878112, 0.965096679918781], [0.005096679918781126, 1.045096679918781], [0.06166522241370494, 1.101665222413705], [0.061665222413704944, 1.181665222413705]]"
M0.xml,4,31,2.4800000000000013,"[[-0.1, -1.3], [-0.1, -1.22], [-0.1, -1.14], [-0.1, -1.0599999999999998], [-0.1, -0.9799999999999999], [-0.1, -0.8999999999999999], [-0.1, -0.82], [-0.1, -0.74], [-0.1, -0.66], [-0.1, -0.5800000000000001], [-0.1, -0.5000000000000001], [-0.1, -0.4200000000000001], [-0.1, -0.3400000000000001], [-0.1, -0.26000000000000006], [-0.1, -0.18000000000000005], [-0.1, -0.10000000000000005], [-0.1, -0.020000000000000046], [-0.1, 0.059999999999999956], [-0.1, 0.13999999999999996], [-0.1, 0.21999999999999997], [-0.1, 0.3], [-0.1, 0.38], [-0.1, 0.46], [-0.1, 0.54], [-0.1, 0.62], [-0.1, 0.7], [-0.1, 0.7799999999999999], [-0.043431457505076196, 0.8365685424949237], [-0.04343145750507619, 0.9165685424949237], [0.01313708498984762, 0.9731370849898475], [0.013137084989847626, 1.0531370849898476], [0.06970562748477144, 1.1097056274847714]]"
M0.xml,5,36,2.880000000000001,"[[1.0, -1.4], [1.0, -1.3199999999999998], [1.0, -1.2399999999999998], [1.0, -1.1599999999999997], [0.9434314575050762, -1.1034314575050759], [0.8868629150101524, -1.046862915010152], [0.8302943725152285, -0.9902943725152282], [0.8302943725152285, -0.9102943725152282], [0.8302943725152285, -0.8302943725152282], [0.8302943725152285, -0.7502943725152282], [0.8302943725152285, -0.6702943725152283], [0.7737258300203047, -0.6137258300203045], [0.7171572875253809, -0.5571572875253806], [0.6605887450304571, -0.5005887450304568], [0.6605887450304571, -0.42058874503045685], [0.6040202025355332, -0.364020202535533], [0.6040202025355332, -0.284020202535533], [0.5474516600406094, -0.22745166004060918], [0.4908831175456856, -0.17088311754568536], [0.4908831175456856, -0.09088311754568536], [0.4908831175456856, -0.010883117545685425], [0.4908831175456856, 0.06911688245431458], [0.4908831175456856, 0.1491168824543146], [0.4908831175456856, 0.2291168824543146], [0.4908831175456856, 0.3091168824543146], [0.43431457505076176, 0.36568542494923845], [0.43431457505076176, 0.44568542494923846], [0.37774603255583794, 0.5022539674441623], [0.37774603255583794, 0.5822539674441622], [0.3211774900609141, 0.6388225099390861], [0.3211774900609141, 0.718822509939086], [0.2646089475659903, 0.7753910524340099], [0.2646089475659903, 0.8553910524340098], [0.2080404050710665, 0.9119595949289336], [0.1514718625761427, 0.9685281374238575], [0.1514718625761427, 1.0485281374238573], [0.1514718625761427, 1.1285281374238574]]"
M0.xml,6,37,2.9600000000000017,"[[-1.0, -1.4], [-0.9434314575050762, -1.343431457505076], [-0.9434314575050762, -1.263431457505076], [-0.8868629150101524, -1.2068629150101522], [-0.8302943725152285, -1.1502943725152284], [-0.7737258300203047, -1.0937258300203045], [-0.7171572875253809, -1.0371572875253807], [-0.6605887450304571, -0.9805887450304569], [-0.6605887450304571, -0.9005887450304568], [-0.6605887450304571, -0.8205887450304569], [-0.6605887450304571, -0.7405887450304569], [-0.6605887450304571, -0.660588745030457], [-0.6605887450304571, -0.580588745030457], [-0.6040202025355332, -0.5240202025355332], [-0.6040202025355332, -0.44402020253553315], [-0.5474516600406094, -0.3874516600406093], [-0.4908831175456856, -0.3308831175456855], [-0.4908831175456856, -0.2508831175456855], [-0.4908831175456856, -0.17088311754568547], [-0.43431457505076176, -0.11431457505076166], [-0.43431457505076176, -0.03431457505076166], [-0.37774603255583794, 0.02225396744416215], [-0.37774603255583794, 0.10225396744416215], [-0.37774603255583794, 0.18225396744416217], [-0.37774603255583794, 0.2622539674441622], [-0.3211774900609141, 0.318822509939086], [-0.3211774900609141, 0.398822509939086], [-0.3211774900609141, 0.47882250993908604], [-0.2646089475659903, 0.5353910524340099], [-0.20804040507106647, 0.5919595949289337], [-0.15147186257614265, 0.6485281374238575], [-0.09490332008121884, 0.7050966799187813], [-0.09490332008121884, 0.7850966799187813], [-0.03833477758629503, 0.8416652224137051], [0.018233764908628783, 0.8982337649086289], [0.07480230740355259, 0.9548023074035528], [0.07480230740355259, 1.0348023074035528], [0.07480230740355259, 1.114802307403553]]"
M1.xml,0,18,1.4400000000000006,"[[1.0, 0.1], [0.9434314575050762, 0.1565685424949238], [0.8868629150101524, 0.21313708498984762], [0.8302943725152285, 0.26970562748477145], [0.7737258300203047, 0.32627416997969527], [0.7171572875253809, 0.3828427124746191], [0.6605887450304571, 0.4394112549695429], [0.6040202025355332, 0.49597979746446674], [0.5474516600406094, 0.5525483399593906], [0.4908831175456856, 0.6091168824543144], [0.43431457505076176, 0.6656854249492382], [0.43431457505076176, 0.7456854249492382], [0.43431457505076176, 0.8256854249492381], [0.37774603255583794, 0.882253967444162], [0.3211774900609141, 0.9388225099390858], [0.2646089475659903, 0.9953910524340096], [0.2080404050710665, 1.0519595949289335], [0.1514718625761427, 1.1085281374238574], [0.0949033200812189, 1.1650966799187812]]"
M1.xml,1,21,1.6800000000000006,"[[0.9, -0.1], [0.8434314575050762, -0.043431457505076196], [0.7634314575050762, -0.04343145750507619], [0.6834314575050763, -0.04343145750507618], [0.6268629150101525, 0.013137084989847628], [0.5702943725152286, 0.06970562748477144], [0.5137258300203048, 0.12627416997969526], [0.5137258300203048, 0.20627416997969528], [0.457157287525381, 0.2628427124746191], [0.457157287525381, 0.3428427124746191], [0.40058874503045716, 0.39941125496954294], [0.40058874503045716, 0.47941125496954295], [0.40058874503045716, 0.5594112549695429], [0.34402020253553334, 0.6159797974644667], [0.2874516600406095, 0.6725483399593906], [0.2874516600406095, 0.7525483399593905], [0.23088311754568572, 0.8091168824543143], [0.23088311754568572, 0.8891168824543143], [0.17431457505076192, 0.9456854249492381], [0.17431457505076192, 1.0256854249492382], [0.11774603255583813, 1.082253967444162], [0.11774603255583813, 1.162253967444162]]"
M1.xml,2,19,1.5200000000000007,"[[-1.0, 0.1], [-0.9434314575050762, 0.1565685424949238], [-0.8868629150101524, 0.21313708498984762], [-0.8302943725152285, 0.26970562748477145], [-0.7737258300203047, 0.32627416997969527], [-0.7171572875253809, 0.3828427124746191], [-0.6605887450304571, 0.4394112549695429], [-0.6040202025355332, 0.49597979746446674], [-0.5474516600406094, 0.5525483399593906], [-0.4908831175456856, 0.6091168824543144], [-0.43431457505076176, 0.6656854249492382], [-0.37774603255583794, 0.722253967444162], [-0.3211774900609141, 0.7788225099390859], [-0.2646089475659903, 0.8353910524340097], [-0.20804040507106647, 0.8919595949289335], [-0.15147186257614265, 0.9485281374238573], [-0.09490332008121884, 1.005096679918781], [-0.03833477758629503, 1.0616652224137049], [0.018233764908628783, 1.1182337649086287], [0.07480230740355259, 1.1748023074035525]]"
