config	experiment	group	mazeFile	numStartingPositions	numEpisodes	pc_files	independent_pcs	pc_modulation_method	pc_generation_method	pc_generation_radii	pc_generation_threshold	mix_name	pc_generation_active_layers_only	save_pcs	traces
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.001,0.001,0.001,0.001	max0	false	true	0
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.1,0.1,0.1	max1	false	true	0
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.2,0.2,0.2	max2	false	true	0
c3	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.3,0.3	max3	false	true	0
c4	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.4	max4	false	true	0
c5	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.5	max5	false	true	0
c6	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M0.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.6	max6	false	true	0
c7	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M1.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.001,0.001,0.001,0.001	max0	false	true	0
c8	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M1.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.1,0.1,0.1	max1	false	true	0
c9	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M1.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.2,0.2,0.2	max2	false	true	0
c10	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M1.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.3,0.3	max3	false	true	0
c11	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M1.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.4	max4	false	true	0
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M1.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.5	max5	false	true	0
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M1.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.6	max6	false	true	0
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M2.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.001,0.001,0.001,0.001	max0	false	true	0
c15	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M2.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.1,0.1,0.1	max1	false	true	0
c16	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M2.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.2,0.2,0.2	max2	false	true	0
c17	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M2.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.3,0.3	max3	false	true	0
c18	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M2.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.4	max4	false	true	0
c19	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M2.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.5	max5	false	true	0
c20	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M2.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.6	max6	false	true	0
c21	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M3.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.001,0.001,0.001,0.001	max0	false	true	0
c22	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M3.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.1,0.1,0.1	max1	false	true	0
c23	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M3.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.2,0.2,0.2	max2	false	true	0
c24	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M3.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.3,0.3	max3	false	true	0
c25	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M3.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.4	max4	false	true	0
c26	experiments/setups/experiment_1.xml	g1	experiments/mazes/generative_experiments/M3.xml	22	66000	experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv,experiments/pc_layers/empty.csv	false	none	layer	0.08,024,0.4,0.56	0.004,0.3,0.4,0.5	max5	false	true	0
