config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.0,0.0,0.0	70000
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.1,0.1,0.1	70000
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.2,0.2,0.2	70000
c3	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.3,0.3,0.3	70000
c4	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.4,0.4,0.4	70000
c5	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.5,0.5,0.5	70000
c6	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.6,0.6,0.6	70000
c7	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.7,0.7,0.7	70000
c8	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.8,0.8,0.8	70000
c9	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.9,0.9,0.9	70000
c10	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16,0.16	-1.04,-0.11000000000000001,0.2599999999999999	1.04,0.31000000000000005,0.89	9,3,4	-1.457142857142857,0.9786666666666666,-0.33199999999999996	1.457142857142857,1.4213333333333333,0.33199999999999996	13,3,4	0.0,0.0,0.0	70000
c11	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2,0.16,0.16	-1.04,-0.11000000000000001,0.2599999999999999	1.04,0.31000000000000005,0.89	9,3,4	-1.457142857142857,0.9786666666666666,-0.33199999999999996	1.457142857142857,1.4213333333333333,0.33199999999999996	13,3,4	0.1,0.1,0.1	70000
