x,y,r
-1.1,-1.5,0.04
-1.0435897435897437,-1.5,0.04
-0.9871794871794872,-1.5,0.04
-0.9307692307692308,-1.5,0.04
-0.8743589743589744,-1.5,0.04
-0.8179487179487179,-1.5,0.04
-0.7615384615384616,-1.5,0.04
-0.7051282051282052,-1.5,0.04
-0.6487179487179487,-1.5,0.04
-0.5923076923076923,-1.5,0.04
-0.5358974358974359,-1.5,0.04
-0.4794871794871794,-1.5,0.04
-0.4230769230769231,-1.5,0.04
-0.3666666666666667,-1.5,0.04
-0.3102564102564102,-1.5,0.04
-0.2538461538461538,-1.5,0.04
-0.1974358974358974,-1.5,0.04
-0.1410256410256409,-1.5,0.04
-0.0846153846153845,-1.5,0.04
-0.0282051282051281,-1.5,0.04
0.0282051282051283,-1.5,0.04
0.0846153846153847,-1.5,0.04
0.1410256410256412,-1.5,0.04
0.1974358974358976,-1.5,0.04
0.2538461538461538,-1.5,0.04
0.3102564102564102,-1.5,0.04
0.3666666666666667,-1.5,0.04
0.4230769230769231,-1.5,0.04
0.4794871794871795,-1.5,0.04
0.535897435897436,-1.5,0.04
0.5923076923076924,-1.5,0.04
0.6487179487179489,-1.5,0.04
0.7051282051282053,-1.5,0.04
0.7615384615384617,-1.5,0.04
0.8179487179487182,-1.5,0.04
0.8743589743589746,-1.5,0.04
0.930769230769231,-1.5,0.04
0.9871794871794872,-1.5,0.04
1.043589743589744,-1.5,0.04
1.1,-1.5,0.04
-1.1,-1.4444444444444444,0.04
-1.0435897435897437,-1.4444444444444444,0.04
-0.9871794871794872,-1.4444444444444444,0.04
-0.9307692307692308,-1.4444444444444444,0.04
-0.8743589743589744,-1.4444444444444444,0.04
-0.8179487179487179,-1.4444444444444444,0.04
-0.7615384615384616,-1.4444444444444444,0.04
-0.7051282051282052,-1.4444444444444444,0.04
-0.6487179487179487,-1.4444444444444444,0.04
-0.5923076923076923,-1.4444444444444444,0.04
-0.5358974358974359,-1.4444444444444444,0.04
-0.4794871794871794,-1.4444444444444444,0.04
-0.4230769230769231,-1.4444444444444444,0.04
-0.3666666666666667,-1.4444444444444444,0.04
-0.3102564102564102,-1.4444444444444444,0.04
-0.2538461538461538,-1.4444444444444444,0.04
-0.1974358974358974,-1.4444444444444444,0.04
-0.1410256410256409,-1.4444444444444444,0.04
-0.0846153846153845,-1.4444444444444444,0.04
-0.0282051282051281,-1.4444444444444444,0.04
0.0282051282051283,-1.4444444444444444,0.04
0.0846153846153847,-1.4444444444444444,0.04
0.1410256410256412,-1.4444444444444444,0.04
0.1974358974358976,-1.4444444444444444,0.04
0.2538461538461538,-1.4444444444444444,0.04
0.3102564102564102,-1.4444444444444444,0.04
0.3666666666666667,-1.4444444444444444,0.04
0.4230769230769231,-1.4444444444444444,0.04
0.4794871794871795,-1.4444444444444444,0.04
0.535897435897436,-1.4444444444444444,0.04
0.5923076923076924,-1.4444444444444444,0.04
0.6487179487179489,-1.4444444444444444,0.04
0.7051282051282053,-1.4444444444444444,0.04
0.7615384615384617,-1.4444444444444444,0.04
0.8179487179487182,-1.4444444444444444,0.04
0.8743589743589746,-1.4444444444444444,0.04
0.930769230769231,-1.4444444444444444,0.04
0.9871794871794872,-1.4444444444444444,0.04
1.043589743589744,-1.4444444444444444,0.04
1.1,-1.4444444444444444,0.04
-1.1,-1.3888888888888888,0.04
-1.0435897435897437,-1.3888888888888888,0.04
-0.9871794871794872,-1.3888888888888888,0.04
-0.9307692307692308,-1.3888888888888888,0.04
-0.8743589743589744,-1.3888888888888888,0.04
-0.8179487179487179,-1.3888888888888888,0.04
-0.7615384615384616,-1.3888888888888888,0.04
-0.7051282051282052,-1.3888888888888888,0.04
-0.6487179487179487,-1.3888888888888888,0.04
-0.5923076923076923,-1.3888888888888888,0.04
-0.5358974358974359,-1.3888888888888888,0.04
-0.4794871794871794,-1.3888888888888888,0.04
-0.4230769230769231,-1.3888888888888888,0.04
-0.3666666666666667,-1.3888888888888888,0.04
-0.3102564102564102,-1.3888888888888888,0.04
-0.2538461538461538,-1.3888888888888888,0.04
-0.1974358974358974,-1.3888888888888888,0.04
-0.1410256410256409,-1.3888888888888888,0.04
-0.0846153846153845,-1.3888888888888888,0.04
-0.0282051282051281,-1.3888888888888888,0.04
0.0282051282051283,-1.3888888888888888,0.04
0.0846153846153847,-1.3888888888888888,0.04
0.1410256410256412,-1.3888888888888888,0.04
0.1974358974358976,-1.3888888888888888,0.04
0.2538461538461538,-1.3888888888888888,0.04
0.3102564102564102,-1.3888888888888888,0.04
0.3666666666666667,-1.3888888888888888,0.04
0.4230769230769231,-1.3888888888888888,0.04
0.4794871794871795,-1.3888888888888888,0.04
0.535897435897436,-1.3888888888888888,0.04
0.5923076923076924,-1.3888888888888888,0.04
0.6487179487179489,-1.3888888888888888,0.04
0.7051282051282053,-1.3888888888888888,0.04
0.7615384615384617,-1.3888888888888888,0.04
0.8179487179487182,-1.3888888888888888,0.04
0.8743589743589746,-1.3888888888888888,0.04
0.930769230769231,-1.3888888888888888,0.04
0.9871794871794872,-1.3888888888888888,0.04
1.043589743589744,-1.3888888888888888,0.04
1.1,-1.3888888888888888,0.04
-1.1,-1.3333333333333333,0.04
-1.0435897435897437,-1.3333333333333333,0.04
-0.9871794871794872,-1.3333333333333333,0.04
-0.9307692307692308,-1.3333333333333333,0.04
-0.8743589743589744,-1.3333333333333333,0.04
-0.8179487179487179,-1.3333333333333333,0.04
-0.7615384615384616,-1.3333333333333333,0.04
-0.7051282051282052,-1.3333333333333333,0.04
-0.6487179487179487,-1.3333333333333333,0.04
-0.5923076923076923,-1.3333333333333333,0.04
-0.5358974358974359,-1.3333333333333333,0.04
-0.4794871794871794,-1.3333333333333333,0.04
-0.4230769230769231,-1.3333333333333333,0.04
-0.3666666666666667,-1.3333333333333333,0.04
-0.3102564102564102,-1.3333333333333333,0.04
-0.2538461538461538,-1.3333333333333333,0.04
-0.1974358974358974,-1.3333333333333333,0.04
-0.1410256410256409,-1.3333333333333333,0.04
