x,y,r
0.1,1.2,0.08
0.24,1.2,0.08
0.199,1.299,0.08
0.1,1.34,0.08
0.001,1.299,0.08
-0.04,1.2,0.08
0.001,1.101,0.08
0.1,1.06,0.08
0.199,1.101,0.08
0.415,1.2,0.16
0.323,1.423,0.16
0.1,1.515,0.16
-0.123,1.423,0.16
-0.215,1.2,0.16
-0.123,0.977,0.16
0.1,0.885,0.16
0.323,0.977,0.16
0.745,1.2,0.32
0.556,1.656,0.32
-0.356,1.656,0.32
-0.545,1.2,0.32
-0.317,0.794,0.28
0.129,0.679,0.24
0.478,0.821,0.24
1.227,1.264,0.48
-0.86,1.169,0.43999999999999995
-0.729,0.41,0.44
0.575,0.054,0.1
0.715,0.054,0.08
0.674,0.153,0.08
0.575,0.194,0.08
0.476,0.153,0.08
0.435,0.054,0.08
1.007,0.134,0.16
0.579,0.361,0.16
0.345,0.272,0.16
0.845,0.093,0.12
0.796,0.275,0.16
0.906,0.402,0.24
0.305,0.093,0.12
0.145,0.133,0.16
-0.035,0.173,0.2
-0.238,0.211,0.24
-0.995,0.157,0.2
0.575,-0.054,0.1
0.435,-0.054,0.08
0.476,-0.153,0.08
0.575,-0.194,0.08
0.674,-0.153,0.08
0.715,-0.054,0.08
0.347,-0.289,0.16
0.578,-0.361,0.16
0.794,-0.295,0.15
0.845,-0.093,0.12
1.005,-0.133,0.16
0.122,-0.515,0.32
0.578,-0.685,0.32
1.03,-0.505,0.32
-0.122,-0.766,0.4
0.577,-1.04,0.4
1.267,-0.787,0.4
-0.659,-1.165,0.56
0.038,-1.477,0.44
1.139,-1.455,0.44
0.315,-0.093,0.12
0.145,-0.133,0.16
-0.035,-0.173,0.2
-0.301,-0.211,0.28
-0.648,-0.315,0.36
-0.965,-0.238,0.28
-1.072,-0.619,0.27999999999999986
-0.468,0.16,0.2
0.873,0.718,0.24
0.581,-1.586,0.24
0.193,0.424,0.24
0.567,0.593,0.24
1.18,0.591,0.24
-0.149,0.464,0.2
-1.135,0.716,0.16
