x,y,r
-0.752,-0.848,0.16
-0.541,-0.871,0.2
-0.267,-0.868,0.2
-0.031,-0.854,0.16
-0.735,-0.617,0.16
-0.544,-0.578,0.2
-0.27,-0.583,0.2
-0.024,-0.62,0.16
-0.63,0.415,0.16
-0.39,0.423,0.16
-0.832,0.599,0.12
-0.63,0.623,0.16
-0.404,0.643,0.16
0.017,0.675,0.12
0.18,0.673,0.12
-0.811,0.809,0.12
-0.616,0.802,0.16
0.013,0.845,0.12
0.186,0.839,0.12
0.42,0.83,0.16
0.628,0.84,0.12
0.87,0.884,0.16
-0.84,1.017,0.16
-0.624,1.012,0.16
0.1,1.039,0.12
0.26,1.199,0.12
0.348,0.961,0.16
0.634,1.01,0.16
0.831,1.299,0.16
-0.84,1.245,0.16
-0.63,1.245,0.16
-0.062,1.199,0.12
0.095,1.355,0.12
0.389,1.195,0.16
0.63,1.245,0.16
0.92,1.455,0.2
-0.824,1.434,0.12
-0.646,1.437,0.12
0.581,1.444,0.16
-1.016,-0.702,0.2
0.254,-0.819,0.2
0.37,1.461,0.16
0.099,1.523,0.16
1.052,1.296,0.16
1.028,0.865,0.16
-0.99,-1.076,0.24
-0.616,-1.082,0.24
-0.206,-1.094,0.24
0.181,-1.096,0.24
0.553,-1.096,0.24
-0.995,-0.367,0.24
-0.689,-0.311,0.2
-0.345,-0.341,0.24
-0.03,-0.296,0.24
0.252,-0.279,0.24
-1.004,-1.454,0.28
0.558,-1.408,0.28
-0.625,-1.426,0.28
-0.24,-1.432,0.28
0.615,-0.551,0.24
0.994,-0.57,0.28
0.1,1.2,0.08
-1.039,1.407,0.16
-1.036,1.247,0.16
-1.009,0.772,0.16
-1.006,0.59,0.11999999999999998
-0.175,0.645,0.16
-0.42,1.457,0.2
-0.42,1.214,0.2
-0.233,0.883,0.2
-0.157,1.463,0.16
-0.227,1.216,0.16
-0.446,0.913,0.15
-0.77,0.224,0.2
-1.008,0.454,0.12999999999999995
-0.488,0.234,0.2
-0.178,0.373,0.2
-0.003,0.516,0.16
0.359,0.629,0.16
0.591,0.651,0.16
0.828,0.677,0.16
-1.002,-0.029,0.24
-0.696,-0.041,0.24
-0.281,0.01,0.24
-0.001,0.008,0.24
0.219,0.521,0.16
0.743,0.461,0.2
0.962,0.285,0.24
0.426,0.023,0.24
0.745,0.13,0.24
0.952,-0.112,0.28
-0.006,1.102,0.12
0.193,1.085,0.12
0.213,1.308,0.12
-0.012,1.308,0.12
-0.83,0.433,0.12
-1.032,1.008,0.16
-0.101,0.985,0.16
0.268,-0.553,0.2
0.112,0.261,0.2
0.419,0.358,0.2
1.042,0.606,0.16
0.853,1.051,0.16
1.045,1.088,0.16
0.605,-0.263,0.24
0.964,-1.377,0.28
0.973,-0.966,0.28
0.586,-0.816,0.24000000000000002
-0.987,0.258,0.16
0.17,-1.414,0.28
