x,y,r
0.1,1.2,0.08
-0.738,1.433,0.08
-0.839,0.462,0.12
-1.017,0.832,0.16
-1.019,1.102,0.16
-0.978,0.514,0.08
-0.86,1.147,0.16
-0.252,0.648,0.13
-0.866,0.975,0.16
-0.533,0.61,0.12
0.301,0.755,0.08
0.515,0.722,0.08
0.524,1.375,0.08
0.742,0.721,0.08
0.314,0.589,0.12
-0.435,1.372,0.16
-0.073,1.051,0.16
-0.152,0.754,0.08
-0.842,0.625,0.13
-0.84,0.835,0.12
0.87,0.984,0.16
-0.637,1.296,0.12
-0.87,1.43,0.12
-1.049,0.411,0.12
-1.05,0.627,0.12
-0.683,0.621,0.13
-0.631,0.828,0.12
-1.012,1.371,0.16
0.842,0.652,0.12
-0.412,0.724,0.16
-0.364,1.005,0.16
-0.184,0.914,0.12
-0.29,0.831,0.12
-0.304,1.174,0.16
1.034,0.979,0.16
0.938,1.377,0.24
0.907,1.161,0.2
-0.24,1.404,0.16
0.837,0.843,0.12
-0.604,1.157,0.16
-0.601,0.966,0.16
0.629,0.853,0.12
0.627,1.125,0.16
0.232,1.423,0.16
0.629,1.294,0.12
0.642,1.425,0.12
0.409,1.263,0.12
0.437,1.474,0.12
0.396,0.741,0.08
0.626,0.976,0.16
0.629,0.661,0.12
0.432,1.089,0.16
0.095,1.333,0.12
-0.077,1.196,0.12
0.103,1.055,0.12
0.152,0.661,0.13
-0.01,0.654,0.13
0.158,0.856,0.12
0.004,0.852,0.12
0.277,0.991,0.12
0.273,1.19,0.12
-0.598,1.44,0.12
-0.021,1.406,0.16
0.403,0.89,0.15
-0.834,1.291,0.12
-0.395,0.523,0.08
-0.446,-0.879,0.2
-0.442,-0.566,0.2
0.383,-0.879,0.16
0.466,-0.628,0.16
0.243,-1.076,0.16
-0.025,-1.04,0.16
-0.224,-0.836,0.16
0.28,-0.431,0.16
-0.001,-0.38,0.16
-0.219,-0.582,0.16
-0.639,-0.85,0.16
-0.715,-1.02,0.16
-0.975,-1.012,0.16
-1.047,-0.448,0.16
-0.816,-0.356,0.16
-0.642,-0.587,0.16
0.147,-0.86,0.12
0.246,-0.68,0.12
0.09,-0.548,0.12
-1.013,-0.848,0.12
-1.045,-0.677,0.12
-0.908,-0.556,0.12
-0.793,-0.825,0.12
-0.052,-0.823,0.12
-0.059,-0.622,0.12
-0.774,-0.613,0.12
0.08,-0.721,0.08
-0.909,-0.724,0.08
0.467,0.57,0.12
1.023,0.705,0.16
0.949,0.203,0.24000000000000005
0.688,0.178,0.19999999999999996
-0.976,-1.304,0.24
-0.717,-1.363,0.24
-0.196,-0.274,0.2
-0.141,0.192,0.2
0.032,-0.085,0.2
0.144,0.198,0.21
0.454,0.031,0.24000000000000005
-0.467,-1.196,0.2
-0.212,-1.156,0.2
0.058,-1.365,0.24
0.472,-1.387,0.28
0.594,-1.091,0.24
0.706,-0.843,0.24
0.494,-0.3,0.24
0.237,-0.164,0.21
-0.328,0.006,0.2
-0.509,-0.316,0.2
-0.975,-0.24,0.2
-0.657,-0.135,0.2
-0.681,0.135,0.2
-0.983,-0.003,0.2
0.975,0.477,0.16
0.686,0.459,0.16
0.419,0.361,0.16
0.156,0.451,0.16
-0.092,0.452,0.16
-0.421,0.243,0.16
-0.96,0.24,0.16
-0.298,0.431,0.12
-0.683,0.386,0.16
-0.529,0.421,0.12
-0.726,0.72,0.08
-0.343,-1.368,0.24
1.032,-0.895,0.28
0.925,-1.31,0.28
0.913,-0.172,0.28
0.868,-0.53,0.28
