x,y,r
-0.83,-0.83,0.16
-0.556,-0.85,0.20000000000000004
-0.27,-0.85,0.20000000000000004
0.0,-0.83,0.16
-0.83,-0.623,0.16
-0.5559999999999999,-0.581,0.20000000000000004
-0.27,-0.583,0.20000000000000004
0.0,-0.623,0.16
-0.84,0.415,0.16
-0.63,0.415,0.16
-0.42,0.415,0.16
-0.84,0.623,0.16
-0.63,0.623,0.16
-0.404,0.687,0.20000000000000004
0.0,0.623,0.16
0.21,0.623,0.16
-0.84,0.83,0.16
-0.63,0.83,0.16
0.0,0.83,0.16
0.21,0.83,0.16
0.42,0.83,0.16
0.63,0.83,0.16
0.84,0.83,0.16
-0.84,1.038,0.16
-0.63,1.038,0.16
0.0,1.038,0.16
0.21,1.038,0.16
0.42,1.038,0.16
0.63,1.038,0.16
0.84,1.038,0.16
-0.84,1.245,0.16
-0.63,1.245,0.16
0.0,1.245,0.16
0.21,1.245,0.16
0.42,1.245,0.16
0.63,1.245,0.16
0.84,1.245,0.16
-0.84,1.452,0.16
-0.63,1.452,0.16
0.63,1.452,0.16
0.84,1.452,0.16
-1.04,-0.729,0.2
0.271,-0.732,0.24000000000000005
0.37,1.527,0.2
0.099,1.523,0.2
1.04,0.971,0.2
1.04,1.214,0.2
1.04,1.457,0.2
-1.005,-1.0909999999999997,0.24
-0.67,-1.091,0.24
-0.335,-1.091,0.24
0.0,-1.091,0.24
0.335,-1.091,0.24
-1.005,-0.36099999999999965,0.24
-0.67,-0.361,0.24
-0.335,-0.361,0.24
0.0,-0.361,0.24
0.335,-0.361,0.24
-0.922,-1.437,0.32
-0.497,-1.437,0.32
-0.069,-1.445,0.32
0.347,-1.441,0.32
0.773,-0.72,0.36
0.872,-1.195,0.4
-1.04,1.457,0.2
-1.04,1.214,0.2
-1.04,0.971,0.2
-1.04,0.728,0.2
-1.04,0.485,0.2
-0.203,0.545,0.2
-0.4200000000000002,1.457,0.2
-0.42,1.214,0.2
-0.42,0.971,0.2
-0.205,1.377,0.2
-0.189,1.08,0.2
-0.213,0.796,0.15999999999999998
-0.77,0.224,0.2
-1.042,0.22,0.2
-0.488,0.234,0.2
-0.158,0.253,0.19999999999999996
0.122,0.433,0.2
0.414,0.561,0.2
0.671,0.557,0.2
1.002,0.621,0.2
-1.005,-0.059,0.24000000000000005
-0.67,-0.059,0.24
-0.333,-0.059,0.24
-0.009,-0.063,0.24
0.193,0.276,0.24
0.557,0.271,0.24
0.962,0.285,0.24
0.406,-0.05,0.28
0.877,-0.122,0.32000000000000006
0.82,-0.441,0.32000000000000006
