x,y,r
0.1,1.2,0.08
0.32,1.18,0.18
0.1,1.4,0.16
-0.1,1.2,0.16
0.12,0.97,0.18
0.4111,1.5111,0.24
-0.2111,1.5111,0.24
-0.2111,0.8889,0.24
0.5611,0.8389,0.32
0.74,1.2,0.32
-0.54,1.2,0.32
0.1,0.56,0.32
-0.4588,0.6412,0.32
1.04,1.18,0.38
-0.93,1.17,0.44
-0.2,0.21,0.36
-0.8253,0.3247,0.52
0.575,0.12,0.16
0.885,0.12,0.25
0.265,0.12,0.25
0.575,0.45,0.25
1.0063,0.5513,0.32
0.575,-0.12,0.16
0.885,-0.12,0.25
0.265,-0.12,0.25
0.575,-0.45,0.25
0.1437,-0.5513,0.32
1.0063,-0.5513,0.32
-0.205,-0.24,0.4
0.575,-1.1,0.48
-0.0855,-1.1205,0.56
1.0655,-1.2105,0.4
-0.75,-0.4,0.56
-0.75,-1.15,0.56
