x,y,r
-1.04,-1.4571,0.2
-0.78,-1.4571,0.2
-0.52,-1.4571,0.2
-0.26,-1.4571,0.2
0.0,-1.4571,0.2
0.26,-1.4571,0.2
0.52,-1.4571,0.2
0.78,-1.4571,0.2
1.04,-1.4571,0.2
-1.04,-1.2143,0.2
-0.78,-1.2143,0.2
-0.52,-1.2143,0.2
-0.26,-1.2143,0.2
0.0,-1.2143,0.2
0.26,-1.2143,0.2
0.52,-1.2143,0.2
0.78,-1.2143,0.2
1.04,-1.2143,0.2
-1.04,-0.9714,0.2
-0.78,-0.9714,0.2
-0.52,-0.9714,0.2
-0.26,-0.9714,0.2
0.0,-0.9714,0.2
0.26,-0.9714,0.2
0.52,-0.9714,0.2
0.78,-0.9714,0.2
1.04,-0.9714,0.2
-1.04,-0.7286,0.2
-0.78,-0.7286,0.2
-0.52,-0.7286,0.2
-0.26,-0.7286,0.2
0.0,-0.7286,0.2
0.26,-0.7286,0.2
0.52,-0.7286,0.2
0.78,-0.7286,0.2
1.04,-0.7286,0.2
-1.04,-0.4857,0.2
-0.78,-0.4857,0.2
-0.52,-0.4857,0.2
-0.26,-0.4857,0.2
0.0,-0.4857,0.2
0.26,-0.4857,0.2
0.52,-0.4857,0.2
0.78,-0.4857,0.2
1.04,-0.4857,0.2
-1.04,-0.2429,0.2
-0.78,-0.2429,0.2
-0.52,-0.2429,0.2
-0.26,-0.2429,0.2
0.0,-0.2429,0.2
0.26,-0.2429,0.2
0.52,-0.2429,0.2
0.78,-0.2429,0.2
1.04,-0.2429,0.2
-1.04,0.0,0.2
-0.78,0.0,0.2
-0.52,0.0,0.2
-0.26,0.0,0.2
0.0,0.0,0.2
0.26,0.0,0.2
0.52,0.0,0.2
0.78,0.0,0.2
1.04,0.0,0.2
-1.04,0.2429,0.2
-0.78,0.2429,0.2
-0.52,0.2429,0.2
-0.26,0.2429,0.2
0.0,0.2429,0.2
0.26,0.2429,0.2
0.52,0.2429,0.2
0.78,0.2429,0.2
1.04,0.2429,0.2
-1.04,0.4857,0.2
-0.78,0.4857,0.2
-0.52,0.4857,0.2
-0.26,0.4857,0.2
0.0,0.4857,0.2
0.26,0.4857,0.2
0.52,0.4857,0.2
0.78,0.4857,0.2
1.04,0.4857,0.2
-1.04,0.7286,0.2
-0.78,0.7286,0.2
-0.52,0.7286,0.2
-0.26,0.7286,0.2
0.0,0.7286,0.2
0.26,0.7286,0.2
0.52,0.7286,0.2
0.78,0.7286,0.2
1.04,0.7286,0.2
-1.04,0.9714,0.2
-0.78,0.9714,0.2
-0.52,0.9714,0.2
-0.26,0.9714,0.2
0.0,0.9714,0.2
0.26,0.9714,0.2
0.52,0.9714,0.2
0.78,0.9714,0.2
1.04,0.9714,0.2
-1.04,1.2143,0.2
-0.78,1.2143,0.2
-0.52,1.2143,0.2
-0.26,1.2143,0.2
0.0,1.2143,0.2
0.26,1.2143,0.2
0.52,1.2143,0.2
0.78,1.2143,0.2
1.04,1.2143,0.2
-1.04,1.4571,0.2
-0.78,1.4571,0.2
-0.52,1.4571,0.2
-0.26,1.4571,0.2
0.0,1.4571,0.2
0.26,1.4571,0.2
0.52,1.4571,0.2
0.78,1.4571,0.2
1.04,1.4571,0.2
