x,y,r
-1.1,-1.5,0.32
-0.66,-1.5,0.32
-0.21999999999999997,-1.5,0.32
0.2200000000000002,-1.5,0.32
0.6600000000000001,-1.5,0.32
1.1,-1.5,0.32
-1.1,-1.125,0.32
-0.66,-1.125,0.32
-0.21999999999999997,-1.125,0.32
0.2200000000000002,-1.125,0.32
0.6600000000000001,-1.125,0.32
1.1,-1.125,0.32
-1.1,-0.75,0.32
-0.66,-0.75,0.32
-0.21999999999999997,-0.75,0.32
0.2200000000000002,-0.75,0.32
0.6600000000000001,-0.75,0.32
1.1,-0.75,0.32
-1.1,-0.375,0.32
-0.66,-0.375,0.32
-0.21999999999999997,-0.375,0.32
0.2200000000000002,-0.375,0.32
0.6600000000000001,-0.375,0.32
1.1,-0.375,0.32
-1.1,0.0,0.32
-0.66,0.0,0.32
-0.21999999999999997,0.0,0.32
0.2200000000000002,0.0,0.32
0.6600000000000001,0.0,0.32
1.1,0.0,0.32
-1.1,0.375,0.32
-0.66,0.375,0.32
-0.21999999999999997,0.375,0.32
0.2200000000000002,0.375,0.32
0.6600000000000001,0.375,0.32
1.1,0.375,0.32
-1.1,0.75,0.32
-0.66,0.75,0.32
-0.21999999999999997,0.75,0.32
0.2200000000000002,0.75,0.32
0.6600000000000001,0.75,0.32
1.1,0.75,0.32
-1.1,1.125,0.32
-0.66,1.125,0.32
-0.21999999999999997,1.125,0.32
0.2200000000000002,1.125,0.32
0.6600000000000001,1.125,0.32
1.1,1.125,0.32
-1.1,1.5,0.32
-0.66,1.5,0.32
-0.21999999999999997,1.5,0.32
0.2200000000000002,1.5,0.32
0.6600000000000001,1.5,0.32
1.1,1.5,0.32
