x,y,r
-1.1,-1.5,0.56
-0.856,-1.5,0.56
-0.611,-1.5,0.56
-0.367,-1.5,0.56
-0.122,-1.5,0.56
0.122,-1.5,0.56
0.367,-1.5,0.56
0.611,-1.5,0.56
0.856,-1.5,0.56
1.1,-1.5,0.56
-1.1,-1.269,0.56
-0.856,-1.269,0.56
-0.611,-1.269,0.56
-0.367,-1.269,0.56
-0.122,-1.269,0.56
0.122,-1.269,0.56
0.367,-1.269,0.56
0.611,-1.269,0.56
0.856,-1.269,0.56
1.1,-1.269,0.56
-1.1,-1.038,0.56
-0.856,-1.038,0.56
-0.611,-1.038,0.56
-0.367,-1.038,0.56
-0.122,-1.038,0.56
0.122,-1.038,0.56
0.367,-1.038,0.56
0.611,-1.038,0.56
0.856,-1.038,0.56
1.1,-1.038,0.56
-1.1,-0.808,0.56
-0.856,-0.808,0.56
-0.611,-0.808,0.56
-0.367,-0.808,0.56
-0.122,-0.808,0.56
0.122,-0.808,0.56
0.367,-0.808,0.56
0.611,-0.808,0.56
0.856,-0.808,0.56
1.1,-0.808,0.56
-1.1,-0.577,0.56
-0.856,-0.577,0.56
-0.611,-0.577,0.56
-0.367,-0.577,0.56
-0.122,-0.577,0.56
0.122,-0.577,0.56
0.367,-0.577,0.56
0.611,-0.577,0.56
0.856,-0.577,0.56
1.1,-0.577,0.56
-1.1,-0.346,0.56
-0.856,-0.346,0.56
-0.611,-0.346,0.56
-0.367,-0.346,0.56
-0.122,-0.346,0.56
0.122,-0.346,0.56
0.367,-0.346,0.56
0.611,-0.346,0.56
0.856,-0.346,0.56
1.1,-0.346,0.56
-1.1,-0.115,0.56
-0.856,-0.115,0.56
-0.611,-0.115,0.56
-0.367,-0.115,0.56
-0.122,-0.115,0.56
0.122,-0.115,0.56
0.367,-0.115,0.56
0.611,-0.115,0.56
0.856,-0.115,0.56
1.1,-0.115,0.56
-1.1,0.115,0.56
-0.856,0.115,0.56
-0.611,0.115,0.56
-0.367,0.115,0.56
-0.122,0.115,0.56
0.122,0.115,0.56
0.367,0.115,0.56
0.611,0.115,0.56
0.856,0.115,0.56
1.1,0.115,0.56
-1.1,0.346,0.56
-0.856,0.346,0.56
-0.611,0.346,0.56
-0.367,0.346,0.56
-0.122,0.346,0.56
0.122,0.346,0.56
0.367,0.346,0.56
0.611,0.346,0.56
0.856,0.346,0.56
1.1,0.346,0.56
-1.1,0.577,0.56
-0.856,0.577,0.56
-0.611,0.577,0.56
-0.367,0.577,0.56
-0.122,0.577,0.56
0.122,0.577,0.56
0.367,0.577,0.56
0.611,0.577,0.56
0.856,0.577,0.56
1.1,0.577,0.56
-1.1,0.808,0.56
-0.856,0.808,0.56
-0.611,0.808,0.56
-0.367,0.808,0.56
-0.122,0.808,0.56
0.122,0.808,0.56
0.367,0.808,0.56
0.611,0.808,0.56
0.856,0.808,0.56
1.1,0.808,0.56
-1.1,1.038,0.56
-0.856,1.038,0.56
-0.611,1.038,0.56
-0.367,1.038,0.56
-0.122,1.038,0.56
0.122,1.038,0.56
0.367,1.038,0.56
0.611,1.038,0.56
0.856,1.038,0.56
1.1,1.038,0.56
-1.1,1.269,0.56
-0.856,1.269,0.56
-0.611,1.269,0.56
-0.367,1.269,0.56
-0.122,1.269,0.56
0.122,1.269,0.56
0.367,1.269,0.56
0.611,1.269,0.56
0.856,1.269,0.56
1.1,1.269,0.56
-1.1,1.5,0.56
-0.856,1.5,0.56
-0.611,1.5,0.56
-0.367,1.5,0.56
-0.122,1.5,0.56
0.122,1.5,0.56
0.367,1.5,0.56
0.611,1.5,0.56
0.856,1.5,0.56
1.1,1.5,0.56
